"Plate","Well","WellID","SampleID","Host","Virus","Cross","Dilution","Letter.Code","Resistance","Light","Transfer","Date.of.Last.Transfer","RFU","date","short.date","newIDs","newVirus","newHost","newCross","plate.transfer","ID.plate","newID.plate"
"hi1a","B4","P1B4","1322v10xD","FL13","22v","FL13x22v","10x","D","resistant","high","T1","5/22/18",62,2018-05-24 16:44:29,"2018-05-24","M1V210xD","V2","M1","M1V2","hi1a T1","1322v10xD hi1a","M1V210xD hi1a"
"hi1a","B5","P1B5","42s103xE","FL42",NA,"FL42s","10^3x","E","susceptible","high","T1","5/22/18",32725,2018-05-24 16:44:29,"2018-05-24","M2S103xE",NA,"M2","M2S","hi1a T1","42s103xE hi1a","M2S103xE hi1a"
"hi1a","B6","P1B6","1313v1xAb","FL13","13v","FL13x13v","1x","Ab","resistant","high","T1","5/22/18",159,2018-05-24 16:44:29,"2018-05-24","M1V11xAb","V1","M1","M1V1","hi1a T1","1313v1xAb hi1a","M1V11xAb hi1a"
"hi1a","C1","P1C1","4242v1xF","FL42","42v","FL42x42v","1x","F","resistant","high","T1","5/22/18",453,2018-05-24 16:44:29,"2018-05-24","M2V41xF","V4","M2","M2V4","hi1a T1","4242v1xF hi1a","M2V41xF hi1a"
"hi1a","C2","P1C2","13s1xF","FL13",NA,"FL13s","1x","F","susceptible","high","T1","5/22/18",5935,2018-05-24 16:44:29,"2018-05-24","M1S1xF",NA,"M1","M1S","hi1a T1","13s1xF hi1a","M1S1xF hi1a"
"hi1a","C3","P1C3","1313v10xC","FL13","13v","FL13x13v","10x","C","resistant","high","T1","5/22/18",220,2018-05-24 16:44:29,"2018-05-24","M1V110xC","V1","M1","M1V1","hi1a T1","1313v10xC hi1a","M1V110xC hi1a"
"hi1a","C4","P1C4","1328v1xC","FL13","28v","FL13x28v","1x","C","resistant","high","T1","5/22/18",265,2018-05-24 16:44:29,"2018-05-24","M1V31xC","V3","M1","M1V3","hi1a T1","1328v1xC hi1a","M1V31xC hi1a"
"hi1a","C5","P1C5","42s1xF","FL42",NA,"FL42s","1x","F","susceptible","high","T1","5/22/18",32892,2018-05-24 16:44:29,"2018-05-24","M2S1xF",NA,"M2","M2S","hi1a T1","42s1xF hi1a","M2S1xF hi1a"
"hi1a","C6","P1C6","1322v1xF","FL13","22v","FL13x22v","1x","F","resistant","high","T1","5/22/18",87,2018-05-24 16:44:29,"2018-05-24","M1V21xF","V2","M1","M1V2","hi1a T1","1322v1xF hi1a","M1V21xF hi1a"
"hi1a","D1","P1D1","1328v1xA","FL13","28v","FL13x28v","10^3x","A","resistant","high","T1","5/22/18",1808,2018-05-24 16:44:29,"2018-05-24","M1V31xA","V3","M1","M1V3","hi1a T1","1328v1xA hi1a","M1V31xA hi1a"
"hi1a","D2","P1D2","4222v103xF","FL42","22v","FL42x22v","10^3x","F","resistant","high","T1","5/22/18",431,2018-05-24 16:44:29,"2018-05-24","M2V2103xF","V2","M2","M2V2","hi1a T1","4222v103xF hi1a","M2V2103xF hi1a"
