SampleID,start.T2,end.T2,start.T3,end.T3,ID.plate
4222v102xE,5/29/18,6/4/18,6/5/18,6/8/18,4222v102xE lo3a
4242v1xD,5/29/18,6/4/18,6/5/18,6/8/18,4242v1xD lo3a
4228v1xE,5/29/18,6/4/18,6/5/18,6/8/18,4228v1xE lo3a
13s10xE,5/29/18,6/1/18,6/5/18,6/8/18,13s10xE lo3a
13s1xE,5/29/18,6/1/18,6/5/18,6/8/18,13s1xE lo3a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo3a
1322v103xD,5/29/18,6/4/18,6/5/18,6/7/18,1322v103xD lo3a
42s103xD,5/29/18,6/4/18,6/5/18,6/8/18,42s103xD lo3a
1322v102xD,5/29/18,6/4/18,6/5/18,6/8/18,1322v102xD lo3a
1328v1xF,5/31/18,6/4/18,6/5/18,6/8/18,1328v1xF lo3a
42s102xD,5/29/18,6/1/18,6/5/18,6/7/18,42s102xD lo3a
1322v1xD,5/29/18,6/1/18,6/5/18,6/8/18,1322v1xD lo3a
42s10xD,5/28/18,6/4/18,6/5/18,6/8/18,42s10xD lo3a
1322v102xE,5/30/18,6/4/18,6/5/18,6/8/18,1322v102xE lo3b
42s10xE,5/31/18,6/4/18,6/6/18,6/7/18,42s10xE lo3b
42s1xE,5/29/18,6/4/18,6/5/18,6/8/18,42s1xE lo3b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo3b
1328v1xA,5/29/18,6/4/18,6/5/18,6/8/18,1328v1xA lo3b
1313v10xD,5/28/18,6/4/18,6/5/18,6/8/18,1313v10xD lo3b
4222v10xE,5/29/18,6/1/18,6/6/18,6/7/18,4222v10xE lo3b
13103xE,5/29/18,6/4/18,6/6/18,6/8/18,13103xE lo3b
4228v10xE,5/29/18,6/4/18,6/5/18,6/8/18,4228v10xE lo3b
42s1xD,5/30/18,6/4/18,6/5/18,6/8/18,42s1xD lo3b
1322v1xA,5/30/18,6/4/18,6/5/18,6/8/18,1322v1xA lo3b
4222v102xE,5/29/18,6/4/18,6/5/18,6/8/18,4222v102xE lo3b
4242v1xD,5/28/18,6/1/18,6/6/18,6/8/18,4242v1xD lo3b
4228v1xE,5/29/18,6/4/18,6/5/18,6/8/18,4228v1xE lo3b
13s10xE,5/29/18,6/8/18,6/6/18,6/8/18,13s10xE lo3b
13s1xE,5/29/18,6/4/18,6/6/18,6/8/18,13s1xE lo3b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo3b
1322v103xD,5/28/18,6/4/18,6/5/18,6/8/18,1322v103xD lo3b
42s103xD,5/29/18,6/4/18,6/5/18,6/7/18,42s103xD lo3b
1322v102xD,5/28/18,6/4/18,6/6/18,6/8/18,1322v102xD lo3b
1328v1xF,5/29/18,6/4/18,6/6/18,6/8/18,1328v1xF lo3b
42s102xD,5/29/18,6/4/18,6/5/18,6/8/18,42s102xD lo3b
1322v1xD,5/31/18,6/4/18,6/6/18,6/8/18,1322v1xD lo3b
42s10xD,5/29/18,6/4/18,6/5/18,6/7/18,42s10xD lo3b
4228v102xD,5/28/18,6/2/18,6/5/18,6/8/18,4228v102xD lo4a
13s1xD,5/31/18,6/4/18,6/5/18,6/8/18,13s1xD lo4a
42s102xC,5/28/18,6/3/18,6/5/18,6/8/18,42s102xC lo4a
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo4a
4222v10xD,5/29/18,6/3/18,6/6/18,6/8/18,4222v10xD lo4a
4242v103xC,5/28/18,6/4/18,6/5/18,6/8/18,4242v103xC lo4a
4242v1xC,5/30/18,6/3/18,6/6/18,6/8/18,4242v1xC lo4a
4228v10xC,5/30/18,6/3/18,6/5/18,6/8/18,4228v10xC lo4a
4228v1xD,5/28/18,6/4/18,6/5/18,6/8/18,4228v1xD lo4a
13131xD,5/28/18,6/4/18,6/5/18,6/8/18,13131xD lo4a
1322v103xC,5/28/18,6/3/18,6/6/18,6/8/18,1322v103xC lo4a
42s103xC,5/30/18,6/3/18,6/5/18,6/7/18,42s103xC lo4a
4222v103xD,5/28/18,6/3/18,6/5/18,6/8/18,4222v103xD lo4a
13s103xD,5/29/18,6/4/18,6/6/18,6/8/18,13s103xD lo4a
1313v102xA,5/28/18,6/4/18,6/5/18,6/8/18,1313v102xA lo4a
1322v10xB,5/29/18,6/4/18,6/6/18,6/8/18,1322v10xB lo4a
42s103xB,5/28/18,6/4/18,6/5/18,6/8/18,42s103xB lo4a
4228v10xCb,5/30/18,6/3/18,6/5/18,6/8/18,4228v10xCb lo4a
13s102xD,5/28/18,6/4/18,6/5/18,6/8/18,13s102xD lo4a
13s10xD,5/29/18,6/4/18,6/5/18,6/8/18,13s10xD lo4a
42s1xC,5/30/18,6/3/18,6/5/18,6/8/18,42s1xC lo4a
1322v102xC,5/30/18,6/3/18,6/6/18,6/8/18,1322v102xC lo4a
4228v1xC,5/28/18,6/4/18,6/5/18,6/8/18,4228v1xC lo4a
13s1xC,5/28/18,6/3/18,6/6/18,6/8/18,13s1xC lo4a
4228v102xD,5/29/18,6/4/18,6/5/18,6/7/18,4228v102xD lo4b
13s1xD,5/28/18,6/4/18,6/5/18,6/8/18,13s1xD lo4b
42s102xC,5/31/18,6/4/18,6/5/18,6/8/18,42s102xC lo4b
blank,5/28/18,6/4/18,6/5/18,6/8/18,blank lo4b
4222v10xD,5/28/18,6/4/18,6/6/18,6/8/18,4222v10xD lo4b
4242v103xC,5/30/18,6/3/18,6/6/18,6/7/18,4242v103xC lo4b
4242v1xC,5/28/18,6/4/18,6/6/18,6/7/18,4242v1xC lo4b
4228v10xC,5/28/18,6/4/18,6/6/18,6/8/18,4228v10xC lo4b
4228v1xD,5/28/18,6/4/18,6/6/18,6/8/18,4228v1xD lo4b
